route_id,stop_id,sequence_no
R-GAP-02,S0010,1
R-GAP-02,S0270,2
R-GAP-02,S0119,3
R-GAP-02,S0386,4
R-GAP-02,S0387,5
R-GAP-02,S0388,6
R-GAP-03,S0130,1
R-GAP-03,S0275,2
R-GAP-03,S0427,3
R-GAP-03,S0428,4
R-GAP-03,S0429,5
R-GAP-03,S0389,6
R-GAP-03,S0390,7
R-GAP-04,S0130,1
R-GAP-04,S0221,2
R-GAP-04,S0358,3
R-GAP-04,S0084,4
R-GAP-04,S0391,5
R-GAP-04,S0392,6
R-GAP-05,S0013,1
R-GAP-05,S0198,2
R-GAP-05,S0086,3
R-GAP-05,S0067,4
R-GAP-05,S0076,5
R-GAP-05,S0056,6
R-GAP-05,S0276,7
R-GAP-05,S0023,8
R-GAP-05,S0230,9
R-GAP-05,S0233,10
R-GAP-05,S0225,11
R-GAP-05,S0043,12
R-GAP-05,S0049,13
R-GAP-05,S0073,14
R-GAP-05,S0173,15
R-GAP-05,S0393,16
R-GAP-05,S0394,17
R-GAP-05,S0395,18
R-GAP-06,S0113,1
R-GAP-06,S0212,2
R-GAP-06,S0228,3
R-GAP-06,S0162,4
R-GAP-06,S0396,5
R-GAP-06,S0397,6
R-GAP-06,S0398,7
R-GAP-07,S0130,1
R-GAP-07,S0246,2
R-GAP-07,S0090,3
R-GAP-07,S0211,4
R-GAP-07,S0353,5
R-GAP-07,S0399,6
R-GAP-07,S0400,7
R-GAP-08,S0113,1
R-GAP-08,S0212,2
R-GAP-08,S0228,3
R-GAP-08,S0162,4
R-GAP-08,S0401,5
R-GAP-08,S0402,6
R-GAP-09,S0130,1
R-GAP-09,S0246,2
R-GAP-09,S0090,3
R-GAP-09,S0211,4
R-GAP-09,S0353,5
R-GAP-09,S0403,6
R-GAP-10,S0130,1
R-GAP-10,S0263,2
R-GAP-10,S0271,3
R-GAP-10,S0023,4
R-GAP-10,S0404,5
R-GAP-10,S0405,6
R-GAP-12,S0113,1
R-GAP-12,S0174,2
R-GAP-12,S0169,3
R-GAP-12,S0231,4
R-GAP-12,S0408,5
R-GAP-12,S0409,6
R-GAP-12,S0410,7
R-GAP-13,S0044,1
R-GAP-13,S0238,2
R-GAP-13,S0260,3
