route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,notes,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R2276770,Purano Bus Park-Thimi,10,microbus,public,Madhyapur Thimi Yatayat,S0198,S0110,21,11.91,66.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP027,False,OP027,False,15.849,3.661,8.92,True,active,False,True
R2276999,Shobhabhagwati-Koteshwore,Annapurna A,tempo,public,Samyukta Yatayat,S0003,S0107,19,10.33,52.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP020,False,OP020,False,8.347,0.95,8.26,False,pending_release,False,True
R2277212,Koteshwor - Ratna Park,annapurna B,tempo,public,Digo Yatayat,S0198,S0107,14,8.88,43.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP011,False,OP011,False,9.497,1.679,6.99,False,active,True,True
R2282101,Ratna Park - Sundarijal,2,bus,public,Gokarneshwor Yatayat,S0040,S0086,19,13.45,75.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP002,False,OP002,False,14.868,3.413,13.45,False,active,True,True
R2294107,Ratna Park-Gwarko,14,tempo,public,Bagmati Yatayat,S0013,S0171,19,5.94,44.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP014,False,OP014,False,10.432,4.099,5.94,True,active,False,True
R2295734,Ratna Park-Budhanilkantha School,5,microbus,public,Dhumrabaraha Yatayat,S0013,S0143,17,9.73,56.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP012,False,OP012,False,9.812,2.856,9.73,False,pending_release,False,True
R2295768,Ratnapark-Mangal Bazaar,14,tempo,public,Bagmati Yatayat,S0013,S0154,15,4.77,35.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP014,False,OP014,False,4.708,0.851,4.77,False,active,False,True
R2295902,KattyaniChowk-Sundhara,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0006,16,4.56,34.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP021,False,OP021,False,5.314,0.731,4.56,True,active,False,True
R2295903,Sundhara-Milanchowk-KattyaniChowk,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0006,19,5.29,40.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP021,False,OP021,False,6.048,0.731,5.29,True,active,True,True
R2295941,Old Baneshwar-Sundhara,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0205,15,5.632,31.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP021,False,OP021,False,4.832,0.691,3.92,False,active,False,True
R2295942,Sundhara-Purano Baneshwar,1 MA,tempo,public,Samakhusi Yatayat,S0076,S0046,20,5.27,41.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP021,False,OP021,False,6.173,0.691,5.27,True,active,True,True
R2295986,Sundhara-Shankhamul,1,microbus,public,Local Microbus,S0018,S0086,15,5.58,42.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP030,False,,False,11.739,1.513,5.58,True,pending_release,False,True
R2301205,Purano Bus Park-Shivapuri,5,microbus,public,Basuki Yatayat,S0198,S0144,23,12.47,73.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP013,False,OP013,False,12.522,2.856,12.47,False,pending_release,False,True
R2301306,Balkumari-Gopi Krishna,Nepal Yatayat,bus,public,Nepal Yatayat,S0024,S0134,30,15.4,85.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP007,False,OP007,False,17.494,1.464,12.75,True,active,False,True
R2301357,Naya Baneshwor-Teaching,-,microbus,public,Tarakeshwor Yatayat,S0075,S0195,12,5.22,29.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP019,False,OP019,False,4.393,0.822,3.92,False,pending_release,False,True
R2301358,Teaching-NayaBaneshwar,-,microbus,public,Tarakeshwor Yatayat,S0124,S0046,16,12.94,58.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP019,False,OP019,False,10.754,2.329,10.35,False,pending_release,False,True
R2307657,Lubhu - Lagankhel,,bus,public,Lubhu Bus Sewa Samiti,S0360,S0112,11,5.62,33.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP029,False,OP029,False,5.31,1.186,5.62,False,pending_release,False,True
R2909799,Kamalbinayak-Ratnapark,7,bus,public,Bhaktapur Minibus Samiti,S0025,S0005,31,18.3,99.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP003,False,OP003,False,33.817,3.321,14.74,True,active,False,True
R2975649,Purano Buspark - Chabahil,1,bus,public,Nepal Yatayat,S0198,S0044,27,14.19,80.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP007,False,OP007,False,17.232,2.681,11.3,True,active,False,True
R2988809,Purano Bus Park - Sakhu,4,bus,public,Panchpokhari Yatayat,S0198,S0146,28,24.09,112.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP017,False,OP017,False,25.839,3.413,19.84,False,active,False,True
R2988810,Purano Bus Park- Budhanilkantha,5,bus,public,Dhumrabaraha Yatayat,S0198,S0176,21,10.68,64.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP012,False,OP012,False,10.734,2.856,10.68,False,pending_release,False,True
R2988835,Ratna Park - Thankot,20,microbus,public,Chandragiri Yatayat,S0076,S0119,11,10.79,55.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP004,False,OP004,False,11.151,2.386,10.79,False,pending_release,False,True
R2988836,Thankot - Ratna Park,20,microbus,public,Chandragiri Yatayat,S0010,S0013,11,13.43,66.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP004,False,OP004,False,13.27,2.884,13.43,False,pending_release,False,True
R2988890,Bagbazaar-Kamalbinayak,7,bus,public,Bhaktapur Minibus Samiti,S0031,S0025,32,18.62,100.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP003,False,OP003,False,26.103,3.995,14.59,True,active,False,True
R2988891,Panauti - Ratnapark,11,bus,public,Araniko Yatayat,S0198,S0208,36,36.82,162.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP024,False,OP024,False,43.86,4.893,28.83,True,active,False,True
R2988893,Bagbazar-Changu,,bus,public,Bhaktapur Minibus Samiti,S0031,S0224,31,23.18,115.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP003,False,OP003,False,33.749,4.489,18.55,True,active,False,True
R2988930,Kamal Binayak-Nagarkot,,bus,public,Bhaktapur Minibus Samiti,S0025,S0039,2,9.29,39.0,06:00:00,20:00:00,15,distance_based,False,False,active, the specific committee name and intermediate stops proposed elsewhere are unconfirmed and were not added. Field verification needed.,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP003,False,OP003,False,9.292,9.292,9.29,False,pending_release,False,True
R2988983,Chyamasingh to Ratnapark,,bus,public,Madhya Upatyaka Bus Samiti,S0145,S0031,35,20.46,109.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP005,False,OP005,False,55.178,3.91,15.81,True,active,False,True
R2988993,Ratnapark - Dhulikhel,12,bus,public,Mayur Yatayat,S0198,S0183,37,34.94,157.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP006,False,OP006,False,42.222,4.893,27.19,True,active,False,True
R2989012,Ratna Park - Daksinkali,22,bus,public,Dakshinkali Yatayat,S0198,S0173,13,13.3,67.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP025,False,OP025,False,13.325,6.874,13.3,False,pending_release,False,True
R2989021,Lagankhel-Chapagaun,,bus,public,Lagankhel Chapagaun Bus Sewa,S0219,S0060,7,10.87,43.0,06:00:00,20:00:00,15,distance_based,False,False,active," [2026-07-30 cleanup] name/from_terminus/to_terminus backfilled from this route's own already-linked route_stops sequence (first stop -> last stop) -- the original OSM export had these fields blank. Not researched externally, just derived from data already in this dataset.",2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP028,False,OP028,False,7.861,4.856,8.97,False,pending_release,False,True
R2989036,Purano Bus Park - jorpati,2,bus,public,Gokarneshwor Yatayat,S0198,S0135,24,13.89,75.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP002,False,OP002,False,17.008,2.681,11.06,True,active,False,True
R2989074,Sakhu - Purano Bus Park,4,bus,public,Panchpokhari Yatayat,S0146,S0198,16,15.97,78.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP017,False,OP017,False,16.047,3.413,15.89,False,pending_release,False,True
R2989075,Jorpati - Purano Bus Park,4,bus,public,Gokarneshwor Yatayat,S0135,S0198,12,8.63,41.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP002,False,OP002,False,7.217,1.079,7.1,False,pending_release,False,True
R3020174,Purano Buspark-Gothatar,,bus,public,Juneli Yatayat,S0198,S0159,17,13.77,64.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP015,False,OP015,False,16.282,3.501,11.15,True,active,True,True
R3020244,Attrekhle-Purano Buspark,,bus,public,Juneli Yatayat,S0198,S0125,26,15.87,84.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP015,False,OP015,False,20.794,2.797,12.77,True,active,False,True
R3068536,Kalanki- Lagankhel,,bus,public,Bagmati Yatayat,S0130,S0219,9,8.2,35.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP014,True,OP014,False,9.681,1.908,6.54,True,active,False,True
R3070257,kalanki-Balkumari,,bus,public,Digo Yatayat,S0130,S0024,18,12.02,59.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP011,False,OP011,False,14.706,1.531,8.82,True,active,True,True
R3070262,Kalanki-Pepsacola,,bus,public,Riddhi Siddhi Yatayat,S0130,S0159,18,13.34,66.0,06:00:00,20:00:00,15,distance_based,False,False,active,,2026-08-03T02:53:43Z,2026-09-08T11:06:33Z,OP018,False,OP018,False,17.04,1.828,10.14,True,pending_release,False,True
